commodity_id;commodity_name;density_kg_m3
76;Avocado (pear)                                                                                      ;572.5
184;Bambara beans                                                                                       ;625
29;Banana                                                                                              ;740
25;Bean                                                                                                ;625
11;Cabbage                                                                                             ;625
35;Cowpea                                                                                              ;625
90;Cucumber                                                                                            ;532.5
12;Eggplant (garden egg) (aubergine)                                                                   ;532.5
58;Fish (dry)                                                                                          ;217.5
260;Fish (dry) (imported)                                                                               ;217.5
261;Fish (dry) (local)                                                                                  ;217.5
214;Fish (fresh) (imported)                                                                             ;625
48;Fish (fresh) (origin not specified)                                                                 ;625
242;Fish (fresh, local)                                                                                 ;625
248;Fish (not specified)                                                                                ;625
196;Green bean (haricot)                                                                                ;288
219;Groundnut                                                                                           ;625
17;Groundnut (processing level not specified)                                                          ;625
215;Groundnut (unprocessed)                                                                             ;371.25
1;Maize                                                                                               ;625
84;Mango                                                                                               ;750
4;Millet                                                                                              ;625
14;Okra                                                                                                ;435.25
52;Okra (dry)                                                                                          ;275
22;Onion                                                                                               ;625
23;Orange                                                                                              ;671
15;Pepper (hot)                                                                                        ;250
28;Plantain                                                                                            ;625
95;Potato                                                                                              ;625
212;Rice (imported)                                                                                     ;625
211;Rice (local)                                                                                        ;625
2;Rice (origin not specified)                                                                         ;625
5;Sorghum                                                                                             ;625
32;Sweet potato                                                                                        ;500
16;Tomato                                                                                              ;625
21;Watermelon                                                                                          ;625
6;Yam                                                                                                 ;750
97;Zucchini                                                                                            ;577.5
213;Spring onion                                                                                        ;250
61;Pineapple                                                                                           ;625
153;Carrot                                                                                              ;312.5
96;Sweet pepper                                                                                        ;412.5
7;Cassava                                                                                             ;616.25
251;Cocoyam                                                                                             ;750
63;Wheat                                                                                               ;770
64;Wheat flour                                                                                         ;770
3;Soybean                                                                                             ;617
247;Cassava (dry)                                                                                       ;433
54;Gari                                                                                                ;509
24;Ginger                                                                                              ;562
49;Pawpaw (papaya)                                                                                     ;550
