id;name_of_enumerator;data_collection_name;direction;transportation_system;type_of_matter;quantity;unit;source;source_specification;destination;date;time;remarks;sheet_number_new;number
999000;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;84;3545;kg                                                ;696;airport                                           ;752;;;outgoing flows in May 2014                        ;air export lean                                   ;1
999001;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;84;3710;kg                                                ;696;airport                                           ;684;;;outgoing flows in May 2014                        ;air export lean                                   ;1
999002;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;219;11545;kg                                                ;696;airport                                           ;684;;;outgoing flows in May 2014                        ;air export lean                                   ;1
999003;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;12;24790;kg                                                ;696;airport                                           ;684;;;outgoing flows in May 2014                        ;air export lean                                   ;1
999004;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;12;19240;kg                                                ;696;airport                                           ;684;;;outgoing flows in August 2013                     ;air export rainy                                  ;2
999005;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;199;1015;kg                                                ;696;airport                                           ;684;;;outgoing flows in December 2013                   ;air export peak                                   ;3
999006;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;219;5490;kg                                                ;696;airport                                           ;684;;;outgoing flows in December 2013                   ;air export peak                                   ;3
999007;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;12;26745;kg                                                ;696;airport                                           ;684;;;outgoing flows in December 2013                   ;air export peak                                   ;3
999008;Secondary data                                    ;airport Ouagadougou                               ;out                                               ;plane                                             ;196;100419;kg                                                ;696;airport                                           ;684;;;outgoing flows in December 2013                   ;air export peak                                   ;3
999010;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;63;1898;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in May 2014                        ;rail import lean                                  ;4
999011;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;64;1062;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in May 2014                        ;rail import lean                                  ;4
999012;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;7;30;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in May 2014                        ;rail import lean                                  ;4
999013;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;212;5647;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in May 2014                        ;rail import lean                                  ;4
999014;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;63;1358;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in August 2014                     ;rail import rainy                                 ;5
999015;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;64;1192;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in August 2014                     ;rail import rainy                                 ;5
999016;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;212;8705;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in August 2014                     ;rail import rainy                                 ;5
999017;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;63;2266;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in October 2014                    ;rail import revolution                            ;6
999018;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;64;609;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in October 2014                    ;rail import revolution                            ;6
999019;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;212;7448;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in October 2014                    ;rail import revolution                            ;6
999020;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;63;2189;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in December 2014                   ;rail import peak                                  ;7
999021;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;64;625;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in December 2014                   ;rail import peak                                  ;7
999022;Secondary data                                    ;Sitarail Abidjan                                  ;in                                                ;rail                                              ;212;7463;Tonnes                                            ;637;railway station                                   ;719;;;incoming flows in December 2014                   ;rail import peak                                  ;7
